method	endpoint	file
GET	/reports/menu-engineering	routes/costing-v2Routes.js
GET	/reports/pnl	routes/costing-v2Routes.js
GET	/reports/pnl	routes/costingRoutes.js
GET	/reports/profitability	routes/costingRoutes.js
GET	/reports/roi	routes/costingRoutes.js
GET	/reports/supplier-price-history	routes/costing-v2Routes.js
GET	/revenue	routes/analyticsRoutes.js
GET	/reverse	routes/geocodeRoutes.js
POST	/save-token	routes/notificationRoutes.js
GET	/search	routes/customerRoutes.js
POST	/send-notification	routes/notificationRoutes.js
GET	/skills	routes/employeeSkillsRoutes.js
POST	/skills	routes/employeeSkillsRoutes.js
DELETE	/skills/:id	routes/employeeSkillsRoutes.js
PUT	/skills/:id	routes/employeeSkillsRoutes.js
GET	/stats	routes/attendanceRoutes.js
GET	/stats	routes/complianceRoutes.js
GET	/stats	routes/customerRequestRoutes.js
GET	/stats	routes/customerRoutes.js
GET	/stats	routes/dashboardRoutes.js
GET	/stats	routes/feedbackRoutes.js
GET	/stats	routes/inventoryRoutes.js
GET	/stats	routes/kotRoutes.js
GET	/stats	routes/taskRoutes.js
GET	/stats/carts	routes/userRoutes.js
GET	/status	routes/waitlistRoutes.js
GET	/summary	routes/analyticsRoutes.js
GET	/suppliers	routes/costing-v2Routes.js
POST	/suppliers	routes/costing-v2Routes.js
DELETE	/suppliers/:id	routes/costing-v2Routes.js
PUT	/suppliers/:id	routes/costing-v2Routes.js
POST	/sync-paid	routes/paymentRoutes.js
GET	/table/:id	routes/waitlistRoutes.js
POST	/table/:id/notify-next	routes/waitlistRoutes.js
GET	/takeaway-token/next	routes/orderRoutes.js
POST	/tap-to-order	routes/voiceOrderRoutes.js
POST	/tap-to-order/transcribe	routes/voiceOrderRoutes.js
GET	/templates	routes/dailyTaskRoutes.js
POST	/templates	routes/dailyTaskRoutes.js
DELETE	/templates/:id	routes/dailyTaskRoutes.js
PUT	/templates/:id	routes/dailyTaskRoutes.js
GET	/test	routes/paymentQrRoutes.js
POST	/test	routes/printRoutes.js
GET	/test-push	routes/notificationRoutes.js
POST	/test-push	routes/notificationRoutes.js
GET	/today	routes/attendanceRoutes.js
GET	/today	routes/taskRoutes.js
POST	/token	routes/aiSessionRoutes.js
POST	/upload	routes/paymentQrRoutes.js
GET	/uploads	routes/menuRoutes.js
POST	/uploads	routes/menuRoutes.js
GET	/verify	routes/adminRoutes.js
GET	/version	routes/appUpdateRoutes.js
GET	/waste	routes/costing-v2Routes.js
POST	/waste	routes/costing-v2Routes.js
