file	line	method	prefix	path	auth	roles	endpoint
routes/tableRoutes.js	40	GET	(unmounted?)	/dashboard/occupancy	authorize	["admin"]	/dashboard/occupancy
routes/userRoutes.js	74	GET	(unmounted?)	/emergency-contacts	none		/emergency-contacts
routes/userRoutes.js	75	PUT	(unmounted?)	/emergency-contacts	none		/emergency-contacts
routes/analyticsRoutes.js	46	GET	(unmounted?)	/employees	authorize	adminRoles	/employees
routes/costingRoutes.js	100	GET	(unmounted?)	/expense-categories	none		/expense-categories
routes/costingRoutes.js	101	POST	(unmounted?)	/expense-categories	none		/expense-categories
routes/costingRoutes.js	103	DELETE	(unmounted?)	/expense-categories/:id	none		/expense-categories/:id
routes/costingRoutes.js	102	PUT	(unmounted?)	/expense-categories/:id	none		/expense-categories/:id
routes/costingRoutes.js	92	GET	(unmounted?)	/expenses	none		/expenses
routes/costingRoutes.js	94	POST	(unmounted?)	/expenses	none		/expenses
routes/costingRoutes.js	96	DELETE	(unmounted?)	/expenses/:id	none		/expenses/:id
routes/costingRoutes.js	93	GET	(unmounted?)	/expenses/:id	none		/expenses/:id
routes/costingRoutes.js	95	PUT	(unmounted?)	/expenses/:id	none		/expenses/:id
routes/costingRoutes.js	97	POST	(unmounted?)	/expenses/bulk-import	none		/expenses/bulk-import
routes/complianceRoutes.js	14	GET	(unmounted?)	/expiring	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/expiring
routes/analyticsRoutes.js	61	GET	(unmounted?)	/export	authorize	adminRoles	/export
routes/revenueRoutes.js	26	GET	(unmounted?)	/export	none		/export
routes/notificationRoutes.js	14	GET	(unmounted?)	/firebase-web-config	none		/firebase-web-config
routes/revenueRoutes.js	14	GET	(unmounted?)	/franchise	authorize	["super_admin"]	/franchise
routes/fileRoutes.js	171	POST	(unmounted?)	/generate-url	protect		/generate-url
routes/revenueRoutes.js	25	GET	(unmounted?)	/history	none		/history
routes/costingRoutes.js	123	GET	(unmounted?)	/ingredient-purchases	none		/ingredient-purchases
routes/costingRoutes.js	124	POST	(unmounted?)	/ingredient-purchases	none		/ingredient-purchases
routes/costingRoutes.js	126	DELETE	(unmounted?)	/ingredient-purchases/:id	none		/ingredient-purchases/:id
routes/costingRoutes.js	125	PUT	(unmounted?)	/ingredient-purchases/:id	none		/ingredient-purchases/:id
routes/costingRoutes.js	106	GET	(unmounted?)	/ingredients	none		/ingredients
routes/costingRoutes.js	107	POST	(unmounted?)	/ingredients	none		/ingredients
routes/costingRoutes.js	109	DELETE	(unmounted?)	/ingredients/:id	none		/ingredients/:id
routes/costingRoutes.js	108	PUT	(unmounted?)	/ingredients/:id	none		/ingredients/:id
routes/analyticsRoutes.js	58	GET	(unmounted?)	/inventory	authorize	adminRoles	/inventory
